"NoName","id","latitude","longitude","state","AUTO_UNIQUE_ID_2021-01-30_AdrianaGray_rgsample10","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4","ComputedAPN"
"27","63483","21.378930224","-158.02593965","HI",27,"1",249.9369,"","AggieReverseGeocoder","",4.01,"300 Farrington Hwy","Waipahu","HI","96797","2042","94028029"
"28","108161","21.323349","-157.867264","HI",28,"1",1140.625,"","AggieReverseGeocoder","",4.01,"846 Kanoa St","Urban Honolulu","HI","96817","3480","16001122"
"29","217778","21.285802851","-157.831428973","HI",29,"1",765.6545,"","AggieReverseGeocoder","",4.01,"439 Keoniana St","Urban Honolulu","HI","96815","2077","26015030"
"30","206496","21.29258","-157.826614","HI",30,"1",812.4788,"","AggieReverseGeocoder","",4.01,"919 Makahiki Way","Urban Honolulu","HI","96826","2841","27008012"
"31","216996","21.40333","-157.786545","HI",31,"1",1640.5999,"","AggieReverseGeocoder","",4.01,"45-234 POPOKI PL","Kaneohe","HI","96744","","307927"
"32","93978","21.423697","-157.752029","HI",32,"1",265.6194,"","AggieReverseGeocoder","",4.01,"261 Ilikaa Pl","Waimanalo","HI","96734","1818","44001032"
"33","33575","21.293783","-157.829651","HI",33,"1",999.9989,"","AggieReverseGeocoder","",4.01,"2029 Algaroba St","Urban Honolulu","HI","96826","2710","27001010"
"34","138059","21.436604","-158.176559","HI",34,"1",1078.137,"","AggieReverseGeocoder","",4.01,"86-200 LEIHOKU ST","Waianae","HI","96792","","311501"
"35","204573","21.305784961","-157.832959879","HI",35,"1",1296.9192,"","AggieReverseGeocoder","",4.01,"1802 Makiki St","Urban Honolulu","HI","96822","3266","24024004"
"36","103527","21.402205083","-157.967536533","HI",36,"1",156.4722,"","AggieReverseGeocoder","",4.01,"1310 Waimano Home Rd","Aiea","HI","96782","2135","97024048"
"37","87389","21.3851284","-158.1350709","HI",37,"1",953.0162,"","AggieReverseGeocoder","",4.01,"89-761 NANAKULI AVE","Waianae","HI","96792","","285089"
"38","224181","21.318336","-157.85376","HI",38,"1",453.1336,"","AggieReverseGeocoder","",4.01,"1741 Nuuanu Ave","Urban Honolulu","HI","96813","3249","22001019"
"39","132637","21.38470481","-157.93293072","HI",39,"1",1502.148,"","AggieReverseGeocoder","",4.01,"98-656 KEAPUA PL","Aiea","HI","96701","","57532"
"40","86012","21.315693","-157.86618","HI",40,"1",1461.7613,"","AggieReverseGeocoder","",4.01,"322 Sumner St","Urban Honolulu","HI","96817","5087","15008006"
"41","560960","21.3361622","-157.8743272","HI",41,"1",312.4726,"","AggieReverseGeocoder","",4.01,"2042 Kealoha St","Hickam Housing","HI","96819","4129","13007024"
"42","302891","21.290802","-157.8255","HI",42,"1",1156.1995,"","AggieReverseGeocoder","",4.01,"803 Coolidge St","Urban Honolulu","HI","96826","3011","27009017"
"43","503560","21.3688739","-157.8942609","HI",43,"1",171.8564,"","AggieReverseGeocoder","",4.01,"1402 Ala Iolani St","Hickam Housing","HI","96819","1435","11046055"
"44","332565","21.321600087","-157.875390132","HI",44,"1",187.4989,"","AggieReverseGeocoder","",4.01,"1199 Dillingham Blvd","Urban Honolulu","HI","96817","4440","15020002"
"45","495451","21.314042264","-157.863922991","HI",45,"1",1255.6446,"","AggieReverseGeocoder","",4.01,"215 N King St","Urban Honolulu","HI","96817","6701","15008001"
"46","33384","21.513481","-158.021378","HI",46,"1",187.4872,"","AggieReverseGeocoder","",4.01,"1110 Ihiihi Ave","Wheeler AFB","HI","96786","1228","71006060"
"47","96507","21.324648","-157.879883","HI",47,"1",890.6685,"","AggieReverseGeocoder","",4.01,"1550 Kalani St","Urban Honolulu","HI","96817","4923","15028038"
"48","281905","21.643196","-158.0327","HI",48,"1",859.3785,"","AggieReverseGeocoder","",4.01,"59-705 PUPUKEA RD","Haleiwa","HI","96712","","164760"
"49","77034","21.440835882","-158.02184341","HI",49,"1",267.7301,"","AggieReverseGeocoder","",4.01,"295 Kilau Pl","Mililani Town","HI","96789","2383","94109018"
"50","373798","21.514837","-158.026779","HI",50,"1",234.3369,"","AggieReverseGeocoder","",4.01,"931 Hanau St","Wheeler AFB","HI","96786","4826","71010130"
"51","197786","21.292007","-157.823792","HI",51,"1",500.0041,"","AggieReverseGeocoder","",4.01,"931 Hausten St","Urban Honolulu","HI","96826","3000","27010017"
"52","55289","21.387549","-157.953872","HI",52,"1",211.7879,"","AggieReverseGeocoder","",4.01,"310 Kamehameha Hwy","Waimalu","HI","96701","5313","98008002"
"53","347975","21.263802","-157.818542","HI",53,"1",1265.6414,"","AggieReverseGeocoder","",4.01,"3908 Paki Ave","Urban Honolulu","HI","96815","4525","31043007"
"54","64480","21.371931","-157.902634","HI",54,"1",828.1301,"","AggieReverseGeocoder","",4.01,"1265 Ala Kula Pl","Hickam Housing","HI","96819","1347","11012028"
"55","105110","21.298164","-157.831787","HI",55,"1",470.8375,"","AggieReverseGeocoder","",4.01,"1228 Alexander St","Urban Honolulu","HI","96826","1228","28011023"
"56","42337","21.349390934","-157.861722256","HI",56,"1",703.1187,"","AggieReverseGeocoder","",4.01,"2388 Jennie St","Hickam Housing","HI","96819","3608","13038049"
"57","94203","21.40478076","-158.16369839","HI",57,"1",1282.5104,"","AggieReverseGeocoder","",4.01,"87-1001 AHEKAI ST","Waianae","HI","96792","","242242"
"58","344974","21.312176","-157.8015782","HI",58,"1",410.4635,"","AggieReverseGeocoder","",4.01,"3050 Puhala Rise","Urban Honolulu","HI","96822","1461","29040004"
"59","35729","21.358494","-157.852051","HI",59,"1",1234.3831,"","AggieReverseGeocoder","",4.01,"1743 Kalaepaa Dr","Hickam Housing","HI","96819","3012","14021013"
"60","563846","21.393818784","-157.723747266","HI",60,"1",156.2459,"","AggieReverseGeocoder","",4.01,"114 Alala Rd","Waimanalo","HI","96734","3125","43010005"
"61","237927","21.319283","-157.802872","HI",61,"1",149.3072,"","AggieReverseGeocoder","",4.01,"3329 Pawaina St","Urban Honolulu","HI","96822","1349","29044097"
"62","103665","21.29429175","-157.82778343","HI",62,"1",187.4894,"","AggieReverseGeocoder","",4.01,"2114 S King St","Urban Honolulu","HI","96826","2325","28004022"
"63","73528","21.269367","-157.786041","HI",63,"1",218.7588,"","AggieReverseGeocoder","",4.01,"1061 Koloa St","Urban Honolulu","HI","96816","5101","35030013"
"64","87431","21.358944","-158.063797","HI",64,"1",859.3614,"","AggieReverseGeocoder","",4.01,"91-1000 Farington Highway","Kapolei","HI","96707","","197728"
"65","291268","21.31529841","-157.86045296","HI",65,"1",1437.4921,"","AggieReverseGeocoder","",4.01,"100 N Beretania St","Urban Honolulu","HI","96817","4712","17005019"
"66","205127","21.304184","-157.836227","HI",66,"1",656.2258,"","AggieReverseGeocoder","",4.01,"1414 Wilder Ave","Urban Honolulu","HI","96822","4384","24024068"
"67","160679","21.280609","-157.827225","HI",67,"1",296.8584,"","AggieReverseGeocoder","",4.01,"2240 Kuhio Ave","Urban Honolulu","HI","96815","2836","26020058"
"68","66166","21.365673","-157.929062","HI",68,"1",187.5024,"","AggieReverseGeocoder","",4.01,"4510 Salt Lake Blvd","Aiea","HI","96818","3153","99076007"
"69","116068","21.329899","-157.691574","HI",69,"1",953.1129,"","AggieReverseGeocoder","",4.01,"41-734 KALANIANAOLE HWY","Waimanalo","HI","96795","","521276"
"70","183368","21.296612","-157.836899","HI",70,"1",968.7318,"","AggieReverseGeocoder","",4.01,"1529 S King St","Urban Honolulu","HI","96826","1918","23025001"
"71","225965","21.632906","-158.068893","HI",71,"1",687.473,"","AggieReverseGeocoder","",4.01,"61-126 TUTU ST","Haleiwa","HI","96712","","621794"
"72","34106","21.293679598","-157.847375569","HI",72,"1",375.0641,"","AggieReverseGeocoder","",4.01,"430 Piikoi St","Urban Honolulu","HI","96814","4246","23007023"
"73","124633","21.316427811","-158.017164119","HI",73,"1",1328.1299,"","AggieReverseGeocoder","",4.01,"91-1102 KAIMALIE ST","Ewa Beach","HI","96706","","80597"
"74","56814","21.417509","-157.806198","HI",74,"1",1109.3359,"","AggieReverseGeocoder","",4.01,"46-20 ALALOA ST","Kaneohe","HI","96744","","343166"
"75","274615","21.351662","-157.918198","HI",75,"1",93.75,"","AggieReverseGeocoder","",4.01,"3486 Ala Hapuu St","Aiea","HI","96818","2211","11052017"
"76","474694","21.612816666","-157.911522256","HI",76,"1",796.889,"","AggieReverseGeocoder","",4.01,"54-155 KAM HWY","Hauula","HI","96717","","607519"
"77","97604","21.319244","-157.858078","HI",77,"1",1443.8879,"","AggieReverseGeocoder","",4.01,"266 N School St","Urban Honolulu","HI","96817","3182","17019008"
"78","479921","21.334238418","-157.854441092","HI",78,"1",1203.1715,"","AggieReverseGeocoder","",4.01,"1156 Alewa Dr","Urban Honolulu","HI","96817","1543","18033022"
"79","99266","21.298416","-157.84079","HI",79,"1",187.5448,"","AggieReverseGeocoder","",4.01,"1375 S King St","Urban Honolulu","HI","96814","2340","23018009"
"80","248247","21.319901","-157.849686","HI",80,"1",1171.8955,"","AggieReverseGeocoder","",4.01,"1944 Pacific Heights Rd","Urban Honolulu","HI","96813","1522","22009001"
"81","137334","21.297745","-157.831833","HI",81,"1",171.9041,"","AggieReverseGeocoder","",4.01,"1205 Alexander St","Urban Honolulu","HI","96826","1229","28010023"
"82","53939","21.476431","-158.005524","HI",82,"1",46.7906,"","AggieReverseGeocoder","",4.01,"227 Holoku Pl","Mililani Town","HI","96789","1625","95066045"
"83","292224","21.394974","-157.943054","HI",83,"1",1631.2913,"","AggieReverseGeocoder","",4.01,"98-466 PONO ST","Aiea","HI","96701","","295851"
"84","217352","21.345062","-157.863358","HI",84,"1",1265.6313,"","AggieReverseGeocoder","",4.01,"2308 Kalihi St","Hickam Housing","HI","96819","3759","13034004"
"85","177571","21.36215","-157.900833","HI",85,"1",453.1286,"","AggieReverseGeocoder","",4.01,"3288 Moanalua Rd","Hickam Housing","HI","96819","1469","11012033"
"86","442530","21.35589203","-158.08270591","HI",86,"1",843.8003,"","AggieReverseGeocoder","",4.01,"92-1243 PANANA ST","Kapolei","HI","96707","","382624"
"87","33311","21.320789","-157.843781","HI",87,"1",359.3085,"","AggieReverseGeocoder","",4.01,"2322 Kanealii Ave","Urban Honolulu","HI","96813","1344","22019004"
"88","197326","21.274689","-157.806702","HI",88,"1",343.614,"","AggieReverseGeocoder","",4.01,"608  10th Ave","Urban Honolulu","HI","96816","2225","32027035"
"89","238330","21.358869236","-158.026252617","HI",89,"1",1523.5937,"","AggieReverseGeocoder","",4.01,"91-1155 AAWA DR","Ewa Beach","HI","96706","","140272"
"90","270585","21.291084","-157.711639","HI",90,"1",625.0863,"","AggieReverseGeocoder","",4.01,"6551 Hawaii Kai Dr","East Honolulu","HI","96825","1111","39032015"
"91","97015","21.285059","-157.698364","HI",91,"1",125.0506,"","AggieReverseGeocoder","",4.01,"500 Lunalilo Home Rd","East Honolulu","HI","96825","1752","39008009"
"92","50263","21.290003","-157.851425","HI",92,"1",296.9061,"","AggieReverseGeocoder","",4.01,"1201 Ala Moana Blvd","Urban Honolulu","HI","96814","4205","23037001"
"93","66161","21.366852","-157.929825","HI",93,"1",234.3386,"","AggieReverseGeocoder","",4.01,"4510 Salt Lake Blvd","Aiea","HI","96818","3153","99076007"
"94","195503","21.325199","-157.851685","HI",94,"1",1203.1286,"","AggieReverseGeocoder","",4.01,"2122 Apio Ln","Urban Honolulu","HI","96817","1739","18002081"
"95","370036","21.360331353","-157.737884004","HI",95,"1",390.69,"","AggieReverseGeocoder","",4.01,"98 Kanapuu Pl","Waimanalo","HI","96734","4186","42101049"
"96","88260","21.297218","-157.756729","HI",96,"1",437.5244,"","AggieReverseGeocoder","",4.01,"951 Ahuwale Pl","Urban Honolulu","HI","96821","1608","36022026"
"97","101279","21.400812","-157.791962","HI",97,"1",1000.0183,"","AggieReverseGeocoder","",4.01,"45-303 PUALI ST","Kaneohe","HI","96744","","83416"
"98","40469","21.288482666","-157.835189819","HI",98,"1",968.7414,"","AggieReverseGeocoder","",4.01,"1833 Kalakaua Ave","Urban Honolulu","HI","96815","1512","26013015"
"99","117743","21.297911","-157.844894","HI",99,"1",468.7511,"","AggieReverseGeocoder","",4.01,"833 Piikoi St","Urban Honolulu","HI","96814","2239","23012021"
"100","36386","21.403775213","-157.997987227","HI",100,"1",1734.3742,"","AggieReverseGeocoder","",4.01,"94-1063 MAHINAHINA ST","Waipahu","HI","96797","","38573"
"101","142226","21.335789","-158.026535","HI",101,"1",2015.67,"","AggieReverseGeocoder","",4.01,"91-1185 KUPIPI PL","Ewa Beach","HI","96706","","125094"
"102","494349","21.399687809","-157.801829393","HI",102,"1",1140.6015,"","AggieReverseGeocoder","",4.01,"45-593 APAPANE ST","Kaneohe","HI","96744","","158334"
"103","33066","21.348175","-157.857605","HI",103,"1",362.569,"","AggieReverseGeocoder","",4.01,"1704 Violet St","Hickam Housing","HI","96819","3865","14003026"
"104","253261","21.460728","-158.000443","HI",104,"1",31.2472,"","AggieReverseGeocoder","",4.01,"1051 Melia St","Mililani Town","HI","96789","6020","95050011"
"105","59032","21.386759","-157.998749","HI",105,"1",2703.1298,"","AggieReverseGeocoder","",4.01,"94-1041 KAHUAMOKU ST","Waipahu","HI","96797","","239792"
"106","33864","21.346294","-158.065353","HI",106,"1",1062.5209,"","AggieReverseGeocoder","",4.01,"91-200 KOLILI PL","Kapolei","HI","96707","","262451"
"107","77020","21.402118","-157.9932098","HI",107,"1",1953.3993,"","AggieReverseGeocoder","",4.01,"94-1020 LUMIHOAHU ST","Waipahu","HI","96797","","379193"
"108","33841","21.266159058","-157.817153931","HI",108,"1",437.497,"","AggieReverseGeocoder","",4.01,"3851 Paki Ave","Urban Honolulu","HI","96815","4500","31043013"
"109","38331","21.313424028","-157.853104812","HI",109,"1",1406.2573,"","AggieReverseGeocoder","",4.01,"152 S School St","Urban Honolulu","HI","96813","6610","22002061"
"110","249545","21.311478","-158.017715","HI",110,"1",1203.1065,"","AggieReverseGeocoder","",4.01,"91-567 PAPIPI RD","Ewa Beach","HI","96706","","300963"
"111","343096","21.309202","-157.818283","HI",111,"1",1218.8063,"","AggieReverseGeocoder","",4.01,"2625 Kuahine Dr","Urban Honolulu","HI","96822","1720","29010020"
"112","41104","21.322731","-157.866837","HI",112,"1",1062.527,"","AggieReverseGeocoder","",4.01,"1104 Austin Ln","Urban Honolulu","HI","96817","3424","16001028"
"113","249711","21.388763","-158.136963","HI",113,"1",751.0097,"","AggieReverseGeocoder","",4.01,"89-550 MOKIAWE ST","Waianae","HI","96792","","130104"
"114","169171","21.3237","-157.804993","HI",114,"1",406.2788,"","AggieReverseGeocoder","",4.01,"3447 Kumu St","Urban Honolulu","HI","96822","1212","29062069"
"115","373289","21.392374","-158.034378","HI",115,"1",2412.0083,"","AggieReverseGeocoder","",4.01,"94-523 POLINA  PL","Waipahu","HI","96797","","191789"
"116","33083","21.332855","-157.854721","HI",116,"1",359.3658,"","AggieReverseGeocoder","",4.01,"948 Alewa Dr","Urban Honolulu","HI","96817","1545","18023018"
"117","161395","21.268597","-157.800919","HI",117,"1",453.2123,"","AggieReverseGeocoder","",4.01,"510  18th Ave","Urban Honolulu","HI","96815","4442","31042020"
"118","462548","21.30877166","-157.848954248","HI",118,"1",1249.8991,"","AggieReverseGeocoder","",4.01,"711 Prospect St","Urban Honolulu","HI","96813","1939","21039030"
"119","38695","21.336246","-158.058624","HI",119,"1",2374.9863,"","AggieReverseGeocoder","",4.01,"91-1010 KALEHUNA ST","Kapolei","HI","96707","","56825"
"120","275236","21.312037","-157.804184","HI",120,"1",1735.5484,"","AggieReverseGeocoder","",4.01,"2962 Kahaloa Dr","Urban Honolulu","HI","96822","1532","29038003"
"121","183263","21.290861","-157.826324","HI",121,"1",359.411,"","AggieReverseGeocoder","",4.01,"793 Isenberg St","Urban Honolulu","HI","96826","2940","27011053"
"122","55665","21.418968","-157.807114","HI",122,"1",1298.868,"","AggieReverseGeocoder","",4.01,"46-68 ALALOA ST","Kaneohe","HI","96744","","198867"
"123","34346","21.312666","-157.858353","HI",123,"1",1531.3172,"","AggieReverseGeocoder","",4.01,"1255 Nuuanu Ave","Urban Honolulu","HI","96813","4017","21004040"
"124","106184","21.434848954","-158.019981463","HI",124,"1",2863.1381,"","AggieReverseGeocoder","",4.01,"94-318 NANAMUA PL","Mililani","HI","96789","","472584"
"125","151156","21.3172381","-158.0168115","HI",125,"1",1156.2742,"","AggieReverseGeocoder","",4.01,"91-1069 KAIMALIE ST","Ewa Beach","HI","96706","","23174"
"126","131315","21.32132","-157.803268","HI",126,"1",375.0272,"","AggieReverseGeocoder","",4.01,"3441 Pipa Pl","Urban Honolulu","HI","96822","1221","29067061"
"127","291611","21.322515761","-157.804071747","HI",127,"1",906.2969,"","AggieReverseGeocoder","",4.01,"3432 Manoa Rd","Urban Honolulu","HI","96822","1129","29061010"
"128","45651","21.298624","-157.837967","HI",128,"1",750.0344,"","AggieReverseGeocoder","",4.01,"1450 Young St","Urban Honolulu","HI","96814","1864","24005021"
"129","169272","21.333347","-157.837234","HI",129,"1",234.3649,"","AggieReverseGeocoder","",4.01,"2830 Dow St","Urban Honolulu","HI","96817","1133","22036035"
"130","94146","21.324677","-157.876816","HI",130,"1",640.6731,"","AggieReverseGeocoder","",4.01,"1425 Kaumualii St","Urban Honolulu","HI","96817","4861","15027018"
"131","350493","21.479818","-158.226257","HI",131,"1",843.7126,"","AggieReverseGeocoder","",4.01,"84-258 HOLT ST","Waianae","HI","96792","","263455"
"132","45629","21.291183","-157.829086","HI",132,"1",977.6983,"","AggieReverseGeocoder","",4.01,"2128 Date St","Urban Honolulu","HI","96826","4046","27002037"
"133","463887","21.305473835","-157.788531934","HI",133,"1",377.028,"","AggieReverseGeocoder","",4.01,"2515 Lai Rd","Urban Honolulu","HI","96816","3513","34012043"
"134","303405","21.401796","-157.995331","HI",134,"1",1354.0089,"","AggieReverseGeocoder","",4.01,"94-800 LELEHU PL","Waipahu","HI","96797","","547260"
"135","56121","21.309046","-157.826328","HI",135,"1",611.4158,"","AggieReverseGeocoder","",4.01,"2320 Mamane Pl","Urban Honolulu","HI","96822","2040","25005051"
"136","271975","21.341465869","-158.041387713","HI",136,"1",1898.3595,"","AggieReverseGeocoder","",4.01,"91-1123 PAEHEULU ST","Ewa Beach","HI","96706","","507581"
"137","284756","21.267164632","-157.778651986","HI",137,"1",1000.0225,"","AggieReverseGeocoder","",4.01,"4815 Kahala Ave","Urban Honolulu","HI","96816","5231","35059011"
"138","171657","21.332506","-158.024872","HI",138,"1",2325.1912,"","AggieReverseGeocoder","",4.01,"91-2054 PAHUHU PL","Ewa Beach","HI","96706","","581738"
"139","66091","21.269245782","-157.802577319","HI",139,"1",1348.7741,"","AggieReverseGeocoder","",4.01,"510  18th Ave","Urban Honolulu","HI","96815","4442","31042020"
"140","154094","21.316628","-158.022816","HI",140,"1",1796.8415,"","AggieReverseGeocoder","",4.01,"91-6481 KAPOLEI PKWY","Ewa Beach","HI","96706","","12506"
"141","332898","21.304718","-157.840729","HI",141,"1",359.352,"","AggieReverseGeocoder","",4.01,"1452 Liholiho St","Urban Honolulu","HI","96822","4181","24020046"
"142","63605","21.296172","-157.845296","HI",142,"1",962.3419,"","AggieReverseGeocoder","",4.01,"1210 Kamaile St","Urban Honolulu","HI","96814","2977","23014054"
"143","88290","21.282425","-157.830887","HI",143,"1",437.4621,"","AggieReverseGeocoder","",4.01,"2080 Kalakaua Ave","Urban Honolulu","HI","96815","2097","26016023"
"144","38736","21.323509","-157.867111","HI",144,"1",156.2804,"","AggieReverseGeocoder","",4.01,"846 Kanoa St","Urban Honolulu","HI","96817","3480","16001122"
"145","63248","21.414257","-157.802612","HI",145,"1",1809.8826,"","AggieReverseGeocoder","",4.01,"45-538 KEAAHALA RD","Kaneohe","HI","96744","","185331"
"146","81440","21.334669","-157.716507","HI",146,"1",890.5613,"","AggieReverseGeocoder","",4.01,"41-502 MAKAKALO ST","Waimanalo","HI","96795","","172186"
"147","277314","21.318604","-157.853851","HI",147,"1",1417.4049,"","AggieReverseGeocoder","",4.01,"1741 Nuuanu Ave","Urban Honolulu","HI","96813","3249","22001019"
"148","96015","21.382553","-158.016357","HI",148,"1",62.4958,"","AggieReverseGeocoder","",4.01,"420 Farrington Hwy","Waipahu","HI","96797","2020","94027127"
"149","96734","21.263329128","-157.789187679","HI",149,"1",203.1065,"","AggieReverseGeocoder","",4.01,"4450 Kolohala St","Urban Honolulu","HI","96816","4939","35012011"
"150","291255","21.310422074","-157.711713569","HI",150,"1",93.797,"","AggieReverseGeocoder","",4.01,"993 Pukoo Pl","East Honolulu","HI","96825","1069","39085042"
"151","237368","21.317801192","-157.859187787","HI",151,"1",1409.368,"","AggieReverseGeocoder","",4.01,"1465 Aala St","Urban Honolulu","HI","96817","3605","17023036"
"152","144025","21.448725","-158.18541","HI",152,"1",984.4112,"","AggieReverseGeocoder","",4.01,"85-259 PLANTATION RD","Waianae","HI","96792","","92464"
"153","481319","21.332628327","-158.023533962","HI",153,"1",1609.3856,"","AggieReverseGeocoder","",4.01,"91-1000 WAHINEOMAO PL","Ewa Beach","HI","96706","","635979"
"154","142954","21.375938","-157.7332","HI",154,"1",328.1204,"","AggieReverseGeocoder","",4.01,"945 Holoholo St","Waimanalo","HI","96734","4018","42056029"
"155","82695","21.377537","-157.917587","HI",155,"1",1109.3887,"","AggieReverseGeocoder","",4.01,"625 Mananai Pl","Aiea","HI","96818","5325","99076019"
"156","151702","21.2759767","-157.82392","HI",156,"1",203.121,"","AggieReverseGeocoder","",4.01,"135 Uluniu Ave","Urban Honolulu","HI","96815","3264","26023020"
"157","63558","21.295008","-157.857727","HI",157,"1",843.7636,"","AggieReverseGeocoder","",4.01,"1050 Ala Moana Blvd","Urban Honolulu","HI","96814","4905","23001005"
"158","40456","21.278247833","-157.788299561","HI",158,"1",347.3582,"","AggieReverseGeocoder","",4.01,"4137 Waialae Ave","Urban Honolulu","HI","96816","4662","35016004"
"159","255218","21.283058","-157.736206","HI",159,"1",765.6404,"","AggieReverseGeocoder","",4.01,"309 Halemaumau Pl","Urban Honolulu","HI","96821","2107","37010055"
"160","127726","21.256042","-157.804947","HI",160,"1",859.3988,"","AggieReverseGeocoder","",4.01,"3603 Diamond Head Rd","Urban Honolulu","HI","96816","4430","31038012"
"161","96320","21.295959","-157.697601","HI",161,"1",93.7033,"","AggieReverseGeocoder","",4.01,"7263 Kanoenoe St","East Honolulu","HI","96825","3129","39102001"
"162","143592","21.294657","-157.841995","HI",162,"1",343.7265,"","AggieReverseGeocoder","",4.01,"700 Keeaumoku St","Urban Honolulu","HI","96814","3014","23016009"
"163","181654","21.309944999","-157.711153149","HI",163,"1",437.5018,"","AggieReverseGeocoder","",4.01,"984 Pukoo Pl","East Honolulu","HI","96825","1045","39085050"
"164","33494","21.316692352","-157.860290527","HI",164,"1",296.9243,"","AggieReverseGeocoder","",4.01,"1317 Aala St","Urban Honolulu","HI","96817","3920","17026013"
