"","id","ReportType","CurrentStatus","Description","DateCreate_Converted","DateClosed_Converted","location","crecondate","clocondate","HLReportType","timespan","WeeksToClose"
"15",618347,"Tree","Closed","large cactus has fallen into the bike lane north bound before the bridge","12/10/2018 02:47:56 PM","12/10/2018 02:58:44 PM","(21.423840232, -158.007738042)",2018-12-10 14:47:56,2018-12-10 14:58:44,"Tree",648s (~10.8 minutes),0.00107142857142857
"16",617639,"Light","Closed","on traffic island at Kona intersection","12/08/2018 06:43:29 PM","12/10/2018 08:37:16 AM","(21.290105872, -157.838497759)",2018-12-08 18:43:29,2018-12-10 08:37:16,"RoadSafety",136427s (~1.58 days),0.225573743386243
"17",616659,"Light","Closed","At intersection of Ulupii St. and Uluamahi Pl. Very dark corner now.","12/06/2018 06:59:14 AM","12/06/2018 08:27:42 AM","(21.37542901, -157.756160058)",2018-12-06 06:59:14,2018-12-06 08:27:42,"RoadSafety",5308s (~1.47 hours),0.00877645502645503
"18",615873,"Trash","Closed","items piled up","12/04/2018 01:16:40 PM","12/05/2018 07:54:05 AM","(21.3600765, -158.0276065)",2018-12-04 13:16:40,2018-12-05 07:54:05,"Trash",67045s (~18.62 hours),0.110854828042328
"19",615481,"Homeless","Closed","South-bound side of the bridge, the homeless are really starting to take over the sidewalk. They already have their lean-to tents taking half of the side walk, and ""fishermen"" taking over the half, but now they are starting to park mopeds in the little","12/04/2018 05:39:23 AM","12/04/2018 08:29:28 AM","(21.314567894, -157.888184896)",2018-12-04 05:39:23,2018-12-04 08:29:28,"Homeless",10205s (~2.83 hours),0.0168733465608466
"20",615048,"Tree","Closed","multiple trees on the corner of 91-1015 Olepekupe St, Ewa Beach, HI 96706 that are low hanging , have dead branches. these trees are a saftey concern as while I was taking the photo of the trees a branch fell and just about hit me. something needs to be","12/03/2018 09:46:26 AM","12/04/2018 12:49:06 PM","(21.369634543, -158.024848216)",2018-12-03 09:46:26,2018-12-04 12:49:06,"Tree",97360s (~1.13 days),0.160978835978836
"21",611116,"Tree","Closed","Broken branch","11/24/2018 02:35:37 PM","11/26/2018 09:07:28 AM","(21.283011326, -157.799630315)",2018-11-24 14:35:37,2018-11-26 09:07:28,"Tree",153111s (~1.77 days),0.253159722222222
"22",610392,"Trash","Closed","several mattresses had been dumped at the stop sign a few days ago","11/20/2018 05:30:24 PM","11/21/2018 07:58:30 AM","(21.335855703, -157.877754559)",2018-11-20 17:30:24,2018-11-21 07:58:30,"Trash",52086s (~14.47 hours),0.0861210317460318
"23",608597,"Homeless","Closed","Note the debris collecting around the wheels.","11/15/2018 10:08:37 AM","11/15/2018 10:44:40 AM","(21.424008245, -158.004289941)",2018-11-15 10:08:37,2018-11-15 10:44:40,"Homeless",2163s (~36.05 minutes),0.00357638888888889
"24",608011,"Trash","Closed","3 Stored broken down vehicles in the public right of way. Been there for months, safety hazard","11/14/2018 07:38:38 AM","11/14/2018 08:30:50 AM","(21.406092, -157.7941286)",2018-11-14 07:38:38,2018-11-14 08:30:50,"Trash",3132s (~52.2 minutes),0.00517857142857143
"25",608010,"Trash","Closed","3 Stored broken down vehicles in the public right of way. Been there for months, safety hazard","11/14/2018 07:37:49 AM","11/14/2018 08:30:30 AM","(21.406092, -157.7941286)",2018-11-14 07:37:49,2018-11-14 08:30:30,"Trash",3161s (~52.68 minutes),0.00522652116402116
"26",608009,"Pothole","Closed","Large pothole prior to stoplight heading South.","11/14/2018 07:37:09 AM","11/14/2018 08:18:42 AM","(21.393177051, -157.960430044)",2018-11-14 07:37:09,2018-11-14 08:18:42,"RoadSafety",2493s (~41.55 minutes),0.00412202380952381
"27",607247,"Trash","Closed","Illegal dump","11/12/2018 12:07:34 PM","11/13/2018 11:30:18 AM","(21.3117446, -157.8617989)",2018-11-12 12:07:34,2018-11-13 11:30:18,"Trash",84164s (~23.38 hours),0.139160052910053
"28",607158,"Trash","Closed","Someone, probably HECO, HawTel, or Spectrum, cane through and trimmed the trees at the back of our property. However, instead of hauling away the rubbish they dumped it in our yard. It has now been placed on the sidewalk for them to retrieve and dispose","11/12/2018 08:25:34 AM","11/13/2018 12:00:45 PM","(21.3016097, -157.8023718)",2018-11-12 08:25:34,2018-11-13 12:00:45,"Trash",99311s (~1.15 days),0.164204695767196
"29",605648,"Flooding","Closed","Where we park is literally flooded every time we have a down pour. Storm drain are not working because no one ever took care of it.","11/07/2018 01:39:10 PM","11/08/2018 10:52:12 AM","(21.322891864, -157.909671033)",2018-11-07 13:39:10,2018-11-08 10:52:12,"Water",76382s (~21.22 hours),0.126292989417989
"30",605095,"Stormwater","Closed","construction runoff","11/06/2018 09:53:36 AM","11/09/2018 09:41:22 AM","(21.323860875, -157.881576538)",2018-11-06 09:53:36,2018-11-09 09:41:22,"Water",258466s (~2.99 days),0.427357804232804
"31",604628,"Tree","Closed","Trees resting on power lines. There have been many outages due to fallen trees. One resulted in insurance claims from most of the residents due to a power surge when power was restored","11/05/2018 10:22:20 AM","11/05/2018 03:58:34 PM","(21.256807617, -157.814729443)",2018-11-05 10:22:20,2018-11-05 15:58:34,"Tree",20174s (~5.6 hours),0.0333564814814815
"32",603754,"Tree","Closed","Liho Liho Elementary School. Grass has not been cut for over three weeks. Concerned Individuals: Public, Parents, Children, Principal, School Maintenance. City and County has been asked by school custodian and repeatedly told  Weere coming.","11/02/2018 10:57:08 AM","11/02/2018 04:24:55 PM","(21.278607658, -157.80638278)",2018-11-02 10:57:08,2018-11-02 16:24:55,"Tree",19667s (~5.46 hours),0.0325181878306878
"33",602482,"Broken / Vandalized signs","Closed","A fallen street sign is blocking my car port.","10/30/2018 11:31:01 AM","10/30/2018 11:51:03 AM","(21.280979699, -157.803223787)",2018-10-30 11:31:01,2018-10-30 11:51:03,"RoadSafety",1202s (~20.03 minutes),0.00198743386243386
"34",602423,"Stormwater","Closed","Drain has been clogged for weeks and with this heavy rain the pedestrian traffic is diverted into middle of the street. Lots of handicapped in the area.","10/30/2018 10:21:19 AM","10/30/2018 10:25:34 AM","(21.315208795, -157.865203527)",2018-10-30 10:21:19,2018-10-30 10:25:34,"Water",255s (~4.25 minutes),0.000421626984126984
"35",600772,"Trash","Closed","Abandoned flat bed plus piles and piles of various types of garbage. This has been growing for months.","10/25/2018 01:01:33 PM","10/25/2018 02:16:29 PM","(21.324921802, -157.865855685)",2018-10-25 13:01:33,2018-10-25 14:16:29,"Trash",4496s (~1.25 hours),0.00743386243386243
"36",600372,"Light","Closed","The light goes off and on all night","10/24/2018 06:05:16 PM","10/25/2018 08:03:56 AM","(21.33091, -157.695952)",2018-10-24 18:05:16,2018-10-25 08:03:56,"RoadSafety",50320s (~13.98 hours),0.0832010582010582
"37",599641,"Pothole","Closed","multiple cracks and potholes the entire length of kunia rd some of which are getting quite large","10/23/2018 08:16:38 AM","10/23/2018 08:32:00 AM","(21.4256439, -158.0538968)",2018-10-23 08:16:38,2018-10-23 08:32:00,"RoadSafety",922s (~15.37 minutes),0.0015244708994709
"38",598653,"Trash","Closed","Sun Oct 21, 2018. 2 adults and 14 students volunteering for 808 Cleanups cleaned up this area and bagged the garbage. Please have it picked up as soon as possible to help prevent people from tearing into the bags. Mahalo","10/21/2018 11:55:45 AM","10/22/2018 10:26:06 AM","(21.320678739, -157.861110522)",2018-10-21 11:55:45,2018-10-22 10:26:06,"Trash",81021s (~22.51 hours),0.133963293650794
"39",598443,"Trash","Closed","Decomposing moped has been at this site for at least a year. Clearly has been abandoned along with other bulky items.","10/20/2018 09:43:34 AM","10/22/2018 08:15:29 AM","(21.307053021, -157.845385062)",2018-10-20 09:43:34,2018-10-22 08:15:29,"Trash",167515s (~1.94 days),0.27697585978836
"40",598358,"Tree","Closed","Merging safely is very difficult because the median grass is so tall. You cannt see the cars that are also trying to merge onto Farrington.","10/19/2018 05:50:38 PM","10/22/2018 08:01:01 AM","(21.392523826, -157.991263512)",2018-10-19 17:50:38,2018-10-22 08:01:01,"Tree",223823s (~2.59 days),0.370077711640212
"41",598357,"Tree","Closed","Merging safely is very difficult because the median grass is so tall. You canat see the cars that are also trying to merge onto Farrington.","10/19/2018 05:50:20 PM","10/22/2018 08:00:51 AM","(21.392523826, -157.991263512)",2018-10-19 17:50:20,2018-10-22 08:00:51,"Tree",223831s (~2.59 days),0.370090939153439
"42",598356,"Tree","Closed","Merging safely is very difficult because the median grass is so tall. You canat see the cars that are also trying to merge onto Farrington.","10/19/2018 05:50:10 PM","10/22/2018 08:00:44 AM","(21.392523826, -157.991263512)",2018-10-19 17:50:10,2018-10-22 08:00:44,"Tree",223834s (~2.59 days),0.370095899470899
"43",598355,"Tree","Closed","Merging safely is very difficult because the median grass is so tall. You canat see the cars that are also trying to merge onto Farrington.","10/19/2018 05:49:51 PM","10/22/2018 08:00:35 AM","(21.392523826, -157.991263512)",2018-10-19 17:49:51,2018-10-22 08:00:35,"Tree",223844s (~2.59 days),0.370112433862434
"44",598354,"Tree","Closed","Merging safely is very difficult because the median grass is so that you cantt see the other vehicles trying to get onto Farrington.","10/19/2018 05:47:45 PM","10/22/2018 08:00:27 AM","(21.39256164, -157.991215828)",2018-10-19 17:47:45,2018-10-22 08:00:27,"Tree",223962s (~2.59 days),0.37030753968254
"45",598353,"Tree","Closed","Merging safely is very difficult because the median grass is so that you cantt see the other vehicles trying to get onto Farrington.","10/19/2018 05:47:35 PM","10/22/2018 08:00:09 AM","(21.39256164, -157.991215828)",2018-10-19 17:47:35,2018-10-22 08:00:09,"Tree",223954s (~2.59 days),0.370294312169312
"46",598202,"Trash","Closed","Dumped grocery cart left at the pedestrian island near the crosswalk. No need to call me to follow up","10/19/2018 09:23:47 AM","10/19/2018 09:45:04 AM","(21.301917734, -157.863257012)",2018-10-19 09:23:47,2018-10-19 09:45:04,"Trash",1277s (~21.28 minutes),0.0021114417989418
"47",598195,"Pothole","Closed","Potholes all along this stretch of Hwy 72 and the grass along the edge of the street is out of control causing a major safety issue. The sidewalk/bike lane is overgrown causing a safety issue because pedestrians are now walking along the hwy and not on t","10/19/2018 09:06:34 AM","10/19/2018 09:17:20 AM","(21.3422417, -157.7064051)",2018-10-19 09:06:34,2018-10-19 09:17:20,"RoadSafety",646s (~10.77 minutes),0.00106812169312169
"48",596579,"Tree","Closed","tree hanging low at the end of pa street ( short side )","10/15/2018 11:30:44 AM","10/15/2018 11:39:56 AM","(21.368294408, -158.023913705)",2018-10-15 11:30:44,2018-10-15 11:39:56,"Tree",552s (~9.2 minutes),0.000912698412698413
"49",596081,"Pothole","Closed","On Kunia Road in South bound lane about 200 feet before Traffic light entrance to NSA Kunia Regional Security Operations Center.  Hazardous 50 llong section of several Deep and Wide Ruts in roadway (both in lane and shoulder).  The ruts run in same direc","10/14/2018 09:23:25 PM","10/15/2018 10:36:41 AM","(21.476910828, -158.050433851)",2018-10-14 21:23:25,2018-10-15 10:36:41,"RoadSafety",47596s (~13.22 hours),0.0786970899470899
"50",595949,"Broken / Vandalized signs","Closed","dangling street crossing button","10/14/2018 08:20:22 AM","10/15/2018 08:08:30 AM","(21.290695217, -157.837434181)",2018-10-14 08:20:22,2018-10-15 08:08:30,"RoadSafety",85688s (~23.8 hours),0.141679894179894
"51",595944,"Broken / Vandalized signs","Closed","dangling crossing button","10/14/2018 08:07:15 AM","10/15/2018 08:08:24 AM","(21.290715141, -157.837339022)",2018-10-14 08:07:15,2018-10-15 08:08:24,"RoadSafety",86469s (~1 days),0.14297123015873
"52",595943,"Broken / Vandalized signs","Closed","dangling crossing button","10/14/2018 08:04:54 AM","10/15/2018 08:09:58 AM","(21.290715141, -157.837339022)",2018-10-14 08:04:54,2018-10-15 08:09:58,"RoadSafety",86704s (~1 days),0.143359788359788
"53",595820,"Tree","Closed","There are two large branches broken and hanging from a tree located in Puaina St. turnaround located by 91-1236 Puaina St.","10/13/2018 10:36:26 AM","10/15/2018 09:34:07 AM","(21.343382991, -158.026137388)",2018-10-13 10:36:26,2018-10-15 09:34:07,"Tree",169061s (~1.96 days),0.279532076719577
"54",595716,"Light","Closed","Light flashes rapidly","10/12/2018 07:13:27 PM","10/15/2018 08:12:41 AM","(21.379901998, -158.028785488)",2018-10-12 19:13:27,2018-10-15 08:12:41,"RoadSafety",219554s (~2.54 days),0.36301917989418
"55",595210,"Pothole","Closed","On Waipahu depot on the TOYOTA Waipahu Close to the intersection","10/11/2018 12:06:37 PM","10/11/2018 12:15:49 PM","(21.3833892, -158.006278733)",2018-10-11 12:06:37,2018-10-11 12:15:49,"RoadSafety",552s (~9.2 minutes),0.000912698412698413
"56",594221,"Trash","Closed","Ewa, mauka corner of Varsity Pl. and Kalo Pl.  Intersection being used as moped dumping ground. People strip mopeds and leave parts, dump fluids, etc in area.","10/09/2018 05:39:25 PM","10/10/2018 08:02:44 AM","(21.292271067, -157.8196101)",2018-10-09 17:39:25,2018-10-10 08:02:44,"Trash",51799s (~14.39 hours),0.0856464947089947
"57",593624,"Light","Closed","Almost all of the lights in and around the Kakaako Beach Park are not turned on. Honolulu Marathongs Lanikai Juice Run Club meets at this beach park every Thursday and it has become increasingly more dangerous for participating runners and coaches becaus","10/08/2018 01:21:25 PM","10/08/2018 01:47:32 PM","(21.2937729, -157.8642225)",2018-10-08 13:21:25,2018-10-08 13:47:32,"RoadSafety",1567s (~26.12 minutes),0.00259093915343915
"58",587985,"Tree","Closed","Why is the side of the road and the median not mowed on a regular basis. It look like third world country","09/25/2018 01:41:06 PM","09/26/2018 12:53:19 PM","(21.3640728, -157.7369476)",2018-09-25 13:41:06,2018-09-26 12:53:19,"Tree",83533s (~23.2 hours),0.138116732804233
"59",593581,"Tree","Closed","The grass along the highway is at least 3 feet high along the sidewalk / bike lane on the makai side of the street.  The mauka side looks as though it has been mowed recently, maybe by the owners of the polo fields? The high grass/weeds is becoming a saf","10/08/2018 12:08:07 PM","10/08/2018 12:58:41 PM","(21.3422417, -157.7064051)",2018-10-08 12:08:07,2018-10-08 12:58:41,"Tree",3034s (~50.57 minutes),0.00501653439153439
"60",593023,"Trash","Closed","On the drive up Tantalus someone dumped a mattress.  It now is covered with spray paint.","10/07/2018 02:25:52 PM","10/08/2018 08:19:44 AM","(21.327763708, -157.8261217)",2018-10-07 14:25:52,2018-10-08 08:19:44,"Trash",64432s (~17.9 hours),0.106534391534392
"61",592275,"Homeless","Closed","Abandoned van taking up street parking","10/04/2018 07:23:41 PM","10/05/2018 08:29:08 AM","(21.296900468, -157.859325881)",2018-10-04 19:23:41,2018-10-05 08:29:08,"Homeless",47127s (~13.09 hours),0.077921626984127
"62",591050,"Broken / Vandalized signs","Closed","Kailua bound sign before entrance to Uluhala st is bent to 30 degrees from ground. The map dot is a little off because I didnot know how to move it.","10/02/2018 12:17:10 PM","10/02/2018 12:50:03 PM","(21.379965061, -157.757114801)",2018-10-02 12:17:10,2018-10-02 12:50:03,"RoadSafety",1973s (~32.88 minutes),0.00326223544973545
"63",590487,"Broken / Vandalized signs","Closed","3 minute passenger pickup end sign fell down.","10/01/2018 10:27:43 PM","10/02/2018 07:38:36 AM","(21.303767721, -157.84893855)",2018-10-01 22:27:43,2018-10-02 07:38:36,"RoadSafety",33053s (~9.18 hours),0.0546511243386243
"64",589879,"Trash","Closed","Trash is littered all around the bus stop on Prospect Street","09/30/2018 06:24:54 PM","10/01/2018 09:05:20 AM","(21.309318628, -157.844722471)",2018-09-30 18:24:54,2018-10-01 09:05:20,"Trash",52826s (~14.67 hours),0.0873445767195767
"65",589762,"Light","Closed","Light  stays on","09/30/2018 09:41:53 AM","10/01/2018 09:20:25 AM","(21.296706019, -157.860976348)",2018-09-30 09:41:53,2018-10-01 09:20:25,"RoadSafety",85112s (~23.64 hours),0.140727513227513
"66",588596,"Broken / Vandalized signs","Closed","Driving on Kam hwy ewa bound, right before the stadium, the overhead sign is damaged and missing. Needs to be replaced.","09/26/2018 10:29:29 PM","09/27/2018 09:09:55 AM","(21.371967599, -157.933627278)",2018-09-26 22:29:29,2018-09-27 09:09:55,"RoadSafety",38426s (~10.67 hours),0.0635350529100529
"67",586519,"Trash","Closed","Dumping of mattresses, treadmills, trash, appliances throughout the month","09/22/2018 03:28:52 PM","09/24/2018 08:19:39 AM","(21.391795118, -158.155945864)",2018-09-22 15:28:52,2018-09-24 08:19:39,"Trash",147047s (~1.7 days),0.243133267195767
"68",584623,"Homeless","Closed","Boat parked for YEARS on pololia st this is crazy","09/18/2018 01:59:23 PM","09/18/2018 02:42:20 PM","(21.367375913, -158.020765315)",2018-09-18 13:59:23,2018-09-18 14:42:20,"Homeless",2577s (~42.95 minutes),0.0042609126984127
"69",582250,"Tree","Closed","tree damage during Olivia. obstruction on the sidewalk.","09/13/2018 04:48:28 PM","09/14/2018 09:23:54 AM","(21.289660549, -157.830405733)",2018-09-13 16:48:28,2018-09-14 09:23:54,"Tree",59726s (~16.59 hours),0.0987533068783069
"70",582220,"Tree","Closed","Tree growing into power lines","09/13/2018 02:39:56 PM","09/13/2018 02:46:16 PM","(21.276467, -157.789321)",2018-09-13 14:39:56,2018-09-13 14:46:16,"Tree",380s (~6.33 minutes),0.000628306878306878
"71",581321,"Homeless","Closed","Red Jeep is parked in the public unimproved sidewalk permanently .  The front bumper is such that it may cause serious injury to a cyclist or pedestrian that comes in contact with it.  If a cyclist is looking over their shoulder for traffic behind and ve","09/12/2018 08:27:17 AM","09/12/2018 08:32:41 AM","(21.397913571, -157.729638114)",2018-09-12 08:27:17,2018-09-12 08:32:41,"Homeless",324s (~5.4 minutes),0.000535714285714286
"72",565629,"Light","Closed","Lights been broken for 3 years now","08/10/2018 01:03:13 PM","08/10/2018 02:11:36 PM","(21.3956635, -157.9973784)",2018-08-10 13:03:13,2018-08-10 14:11:36,"RoadSafety",4103s (~1.14 hours),0.00678406084656085
"73",573156,"Trash","Closed","Multiple couches and various large pieces of furniture have been left on the Diamond Head side of the street. Two trucks may be needed to move all of the furniture","08/25/2018 01:15:34 PM","08/27/2018 11:46:35 AM","(21.283858505, -157.778279087)",2018-08-25 13:15:34,2018-08-27 11:46:35,"Trash",167461s (~1.94 days),0.276886574074074
"74",572941,"Tree","Closed","tree branch broken but hanging by bark could fall on pedestrian or passing car","08/24/2018 02:00:28 PM","08/27/2018 11:59:47 AM","(21.442195018, -158.017757778)",2018-08-24 14:00:28,2018-08-27 11:59:47,"Tree",251959s (~2.92 days),0.416598875661376
"75",572783,"Tree","Closed","tree down in electric area","08/24/2018 08:33:22 AM","08/27/2018 11:53:51 AM","(21.2803803, -157.7810373)",2018-08-24 08:33:22,2018-08-27 11:53:51,"Tree",271229s (~3.14 days),0.448460648148148
"76",570977,"Trash","Closed","lots of trash and bulky items, looks like an abandoned homeless camp","08/21/2018 11:36:22 AM","08/21/2018 03:41:22 PM","(21.348262575, -157.722857044)",2018-08-21 11:36:22,2018-08-21 15:41:22,"Trash",14700s (~4.08 hours),0.0243055555555556
"77",567965,"Trash","Closed","Thereds a huge amount of trash on the Diamond Head shoulder of WB H1 extending from the Joint base on ramp to almost the Aiea exit.  Itts been growing in volume.  Looks horrible.","08/15/2018 11:08:31 AM","08/15/2018 11:31:17 AM","(21.350041703, -157.932693958)",2018-08-15 11:08:31,2018-08-15 11:31:17,"Trash",1366s (~22.77 minutes),0.00225859788359788
"78",570215,"Homeless","Closed","This pile continues to grow and is in violation of stored property pickup schedule.","08/20/2018 11:08:57 AM","08/20/2018 11:19:29 AM","(21.289408644, -157.831080709)",2018-08-20 11:08:57,2018-08-20 11:19:29,"Homeless",632s (~10.53 minutes),0.00104497354497355
"79",570143,"Broken / Vandalized signs","Closed","Faded /damaged traffic signal sign on wyllie/Nuuanu street off ramp TOWNBOUND Pali hwy.","08/20/2018 09:49:11 AM","08/20/2018 10:31:48 AM","(21.328265748, -157.845752222)",2018-08-20 09:49:11,2018-08-20 10:31:48,"RoadSafety",2557s (~42.62 minutes),0.00422784391534392
"80",569506,"Light","Closed","off for months","08/19/2018 05:40:40 AM","08/20/2018 10:05:52 AM","(21.301401843, -157.863158878)",2018-08-19 05:40:40,2018-08-20 10:05:52,"RoadSafety",102312s (~1.18 days),0.169166666666667
"81",567964,"Trash","Closed","Thereds a huge amount of trash on the Diamond Head shoulder of WB H1 extending from the Joint base on ramp to almost the Aiea exit.  Ites been growing in volume.  Looks horrible.","08/15/2018 11:08:27 AM","08/15/2018 11:36:16 AM","(21.350041703, -157.932693958)",2018-08-15 11:08:27,2018-08-15 11:36:16,"Trash",1669s (~27.82 minutes),0.00275958994708995
"82",567963,"Trash","Closed","Thereds a huge amount of trash on the Diamond Head shoulder of WB H1 extending from the Joint base on ramp to almost the Aiea exit.  Ites been growing in volume.  Looks horrible.","08/15/2018 11:08:26 AM","08/15/2018 11:33:09 AM","(21.350041703, -157.932693958)",2018-08-15 11:08:26,2018-08-15 11:33:09,"Trash",1483s (~24.72 minutes),0.00245205026455026
"83",565440,"Homeless","Closed","Plant pot and rock stored outside of property line -  tripping hazard for children walking and biking to school","08/10/2018 07:49:27 AM","08/10/2018 08:02:31 AM","(21.393706213, -157.723813028)",2018-08-10 07:49:27,2018-08-10 08:02:31,"Homeless",784s (~13.07 minutes),0.0012962962962963
"84",565437,"Homeless","Closed","Boat/ boat trailer are stored partially on private property and partially beyond the property line-  not stored wholly on private property.","08/10/2018 07:47:55 AM","08/10/2018 08:02:21 AM","(21.394023711, -157.723569611)",2018-08-10 07:47:55,2018-08-10 08:02:21,"Homeless",866s (~14.43 minutes),0.00143187830687831
"85",563817,"Tree","Closed","broken tree branch","08/07/2018 10:53:58 AM","08/07/2018 11:04:50 AM","(21.3560743, -158.0263955)",2018-08-07 10:53:58,2018-08-07 11:04:50,"Tree",652s (~10.87 minutes),0.00107804232804233
"86",563030,"Taxi","Closed","they park on the causing a potential danger to pedestrians, other vehicles driving on the Avenue. The owner of 739 Gulick should be held accountable for his tenants. All taxi drivers that are tenants that rent from them park their taxis all over this Ave","08/06/2018 08:10:49 AM","08/06/2018 08:31:38 AM","(21.3319028, -157.8812318)",2018-08-06 08:10:49,2018-08-06 08:31:38,"Vehicle",1249s (~20.82 minutes),0.0020651455026455
"87",562562,"Trash","Closed","Two brown sofa sectionals and a futon","08/05/2018 10:47:28 AM","08/06/2018 08:23:26 AM","(21.284112222, -157.839319434)",2018-08-05 10:47:28,2018-08-06 08:23:26,"Trash",77758s (~21.6 hours),0.128568121693122
"88",558844,"Trash","Closed","Queen size mattress on the Ewa side of the street on the sidewalk","07/28/2018 03:14:23 PM","07/30/2018 08:56:59 AM","(21.304562095, -157.841308515)",2018-07-28 15:14:23,2018-07-30 08:56:59,"Trash",150156s (~1.74 days),0.24827380952381
"89",558166,"Trash","Closed","Large glass mirror broken on the side walk -dangerous","07/26/2018 08:34:34 PM","07/27/2018 08:12:17 AM","(21.308617326, -157.848945475)",2018-07-26 20:34:34,2018-07-27 08:12:17,"Trash",41863s (~11.63 hours),0.0692179232804233
"90",558164,"Trash","Closed","Desk and bed frame pieces dumped on the makai side of the road","07/26/2018 08:33:09 PM","07/27/2018 08:12:05 AM","(21.308918697, -157.849242295)",2018-07-26 20:33:09,2018-07-27 08:12:05,"Trash",41936s (~11.65 hours),0.0693386243386243
"91",558163,"Trash","Closed","Blankets, wood planks, rubbish on the side walk on the mauka side of the street","07/26/2018 08:30:56 PM","07/27/2018 08:11:55 AM","(21.308403683, -157.847634181)",2018-07-26 20:30:56,2018-07-27 08:11:55,"Trash",42059s (~11.68 hours),0.0695419973544974
